full_name,gender,ssn,years_lived,age,date_of_death,marital_status
Brendan Edward Fuentes,Male,855-74-3048,2040 - 2099,58,2099-05-31,Single
Benjamin Fuentes,Male,832-37-6512,2044 - 2100,55,2100-01-01,Married
Michelle Avila,Female,233-71-7221,2058 - 2100,41,2100-01-01,Single
Heather Jodi Spencer,Female,445-80-8712,2042 - 2099,56,2099-02-07,Married
Patrick Kevin Foley,Male,652-41-5222,2049 - 2100,50,2100-01-01,Single
Devin Joseph Foley,Male,348-28-1434,2052 - 2099,47,2099-08-29,Married
Lisa Wells,Female,004-71-8863,2047 - 2099,51,2099-07-24,Single
Travis Vincent Smith,Male,655-89-9388,2050 - 2099,49,2099-11-30,Married
Sara Danielle Hernandez,Female,580-40-8384,2047 - 2100,52,2100-01-01,Single
Jason John Lambert,Male,522-53-7674,2051 - 2099,47,2099-06-12,Married
Frank David Wang,Male,883-70-5621,2045 - 2100,54,2100-01-01,Single
Jordan Edward Wang,Male,094-73-1168,2058 - 2099,41,2099-09-06,Single
Jose Edwin Wang,Male,143-53-1877,2052 - 2099,47,2099-09-08,Married
Margaret Megan Burke,Female,750-60-8961,2048 - 2100,51,2100-01-01,Single
Drew Hogan,Male,416-67-8188,2056 - 2100,43,2100-01-01,Married
Michael Brian Perez,Male,162-79-1305,2056 - 2100,43,2100-01-01,Single
Ashley Wanda Salazar,Female,619-27-5521,2048 - 2100,51,2100-01-01,Single
Stephen Michael Gonzalez,Male,653-34-8673,2058 - 2100,41,2100-01-01,Single
Alexis Sandra Davis,Female,373-84-1920,2042 - 2100,57,2100-01-01,Married
Alison Martha Brennan,Female,844-97-4323,2058 - 2100,41,2100-01-01,Single
Michael Daniel Crane,Male,649-33-0443,2044 - 2099,54,2099-07-09,Single
Laurie Michelle Crane,Female,631-45-3188,2058 - 2100,41,2100-01-01,Single
Frank Andrew Crane,Male,879-59-7187,2057 - 2100,42,2100-01-01,Married
Dylan Matthew Bauer,Male,618-22-4891,2041 - 2099,58,2099-08-09,Married
Amanda Cynthia Saunders,Female,372-03-6164,2045 - 2100,54,2100-01-01,Single
Robin Cathy Saunders,Female,622-81-4935,2041 - 2100,58,2100-01-01,Married
Anthony Chambers,Male,426-11-7745,2042 - 2100,57,2100-01-01,Married
Matthew Michael Torres,Male,635-45-9702,2046 - 2100,53,2100-01-01,Single
Roy Timothy Williams,Male,287-91-4194,2062 - 2100,37,2100-01-01,Single
Ashley Kimberly Bauer,Female,192-27-3484,2047 - 2099,52,2099-06-20,Single
Trevor Bauer,Male,555-49-1565,2048 - 2100,51,2100-01-01,Married
Melissa Norma Hall,Female,400-11-6291,2047 - 2099,51,2099-04-06,Married
Robert David Preston,Male,014-51-8651,2044 - 2100,55,2100-01-01,Married
Charles Reginald Preston,Male,218-28-3053,2054 - 2100,45,2100-01-01,Married
April Martinez,Female,698-31-5238,2047 - 2100,52,2100-01-01,Single
Sheri Cheryl Pacheco,Female,275-58-8721,2042 - 2100,57,2100-01-01,Married
Matthew Jesse Brown,Male,266-17-1388,2045 - 2099,53,2099-06-29,Single
Virginia Frederick,Female,053-55-8525,2051 - 2100,48,2100-01-01,Single
Laura Catherine Frost,Female,386-97-3116,2060 - 2099,39,2099-07-02,Single
Richard Steven Dixon,Male,432-63-5152,2056 - 2100,43,2100-01-01,Single
Donna Leslie Hamilton,Female,551-08-7596,2057 - 2100,42,2100-01-01,Married
Melissa Hall,Female,697-57-5344,2055 - 2100,44,2100-01-01,Married
Amanda Amy Miller,Female,860-59-8041,2041 - 2099,58,2099-07-25,Single
Heather Catherine Higgins,Female,490-11-9192,2059 - 2099,39,2099-01-03,Married
Samuel Bryan Mitchell,Male,569-02-0560,2059 - 2100,40,2100-01-01,Single
Roy Edward Wilson,Male,376-08-6266,2074 - 2099,25,2099-10-30,Married
Nathaniel Tyler Collins,Male,162-53-6924,2061 - 2100,38,2100-01-01,Married
Michael Antonio Hill,Male,209-53-1069,2060 - 2100,39,2100-01-01,Married
Jason Larry Farrell,Male,093-55-7126,2078 - 2100,21,2100-01-01,Married
Nancy Hannah Hooper,Female,326-26-2592,2078 - 2100,21,2100-01-01,Married
Maurice Nelson,Male,768-19-5772,2064 - 2099,34,2099-04-12,Married
Tamara Morgan Nelson,Female,037-07-9242,2067 - 2100,32,2100-01-01,Married
Christopher Dan Hamilton,Male,383-92-1197,2076 - 2100,23,2100-01-01,Married
Michael Matthew Baker,Male,313-89-2320,2060 - 2099,39,2099-03-19,Married
Patricia Fry,Female,684-24-1234,2062 - 2100,37,2100-01-01,Married
Taylor Hall,Female,488-38-0368,2065 - 2099,33,2099-05-09,Married
Joshua Johnny Chambers,Male,544-07-3100,2062 - 2100,37,2100-01-01,Single
Stacy Chambers,Female,501-66-6589,2066 - 2100,33,2100-01-01,Single
Kevin Steven Chambers,Male,716-23-5012,2077 - 2100,22,2100-01-01,Married
Lori Heather Brown,Female,649-27-3868,2072 - 2100,27,2100-01-01,Married
Debbie Stephanie Brown,Female,636-21-0860,2068 - 2100,31,2100-01-01,Married
Samantha Higgins,Female,376-20-1283,2075 - 2100,24,2100-01-01,Married
Christina Elizabeth Hill,Female,870-67-6505,2062 - 2100,37,2100-01-01,Married
Christina Amy Pacheco,Female,574-03-7354,2070 - 2100,29,2100-01-01,Single
Jamie Shirley Pacheco,Female,826-38-6002,2076 - 2099,22,2099-02-12,Married
Ryan Jason Pacheco,Male,801-18-4577,2075 - 2099,23,2099-03-23,Married
Natasha Sarah Moore,Female,045-96-1475,2060 - 2100,39,2100-01-01,Married
Daniel Christopher Martinez,Male,092-14-8057,2075 - 2100,24,2100-01-01,Single
John James Martinez,Male,022-54-9394,2061 - 2099,38,2099-05-03,Single
Brandy Bauer,Female,867-83-2375,2061 - 2100,38,2100-01-01,Single
Johnathan John Lambert,Male,023-67-0855,2063 - 2100,36,2100-01-01,Married
Jonathan Jeremiah Sandoval,Male,809-10-9588,2060 - 2100,39,2100-01-01,Married
Lori Nicole Hogan,Female,055-74-7691,2062 - 2100,37,2100-01-01,Single
Denise April Freeman,Female,848-03-9500,2063 - 2099,35,2099-03-08,Married
Kara Sabrina Freeman,Female,786-70-0297,2068 - 2100,31,2100-01-01,Single
Robert Troy Hall,Male,495-99-3946,2066 - 2100,33,2100-01-01,Married
John Wilson,Male,274-18-0843,2068 - 2099,30,2099-10-15,Married
Amber Paula Brown,Female,091-98-7491,2064 - 2099,34,2099-04-02,Married
Nancy Shelby Wilson,Female,043-53-7856,2087 - 2100,12,2100-01-01,
Nicole Cathy Higgins,Female,430-73-9452,2080 - 2100,19,2100-01-01,Married
Joseph George Stephens,Transgender,020-39-4501,2082 - 2100,17,2100-01-01,
Danielle Kristin Hamilton,Female,562-82-1426,2085 - 2100,14,2100-01-01,
Gina Hill,Female,492-80-1472,2085 - 2099,13,2099-04-09,
