id,gender,first_name,middle_name,last_name,nickname,ssn,sexual_orientation,age,generation,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,blood_type_allele,mannerisms,positive_traits,neutral_traits,negative_traits,phone_number,email,passport,drivers_license,home,vehicle,bank_account,pet,marital_status,spouse,maiden_name,children,siblings,parent_a,parent_b,employer,role,patron_of,is_alive,parents,can_work,can_marry,is_working,age_group,full_name,name,title,gender_abbr,desired_gender,body_mass_index,format_weight,format_height,years_lived,blood_type
P185b,Male,Bill,Peter,Marshall,Willie,628-19-3706,Homosexual,56,2,2043-12-27,07:07 AM,,Brown,Flowing,Hazel,68.1,201.1,AAdD,Pauses while speaking a lot,"Leisurely, Upright, Invulnerable",Modern,"Charmless, Irascible, Insincere",Cell: (261) 969-4905,Personal: billblevins1227@yakoo.com,Passport: O07731224 - Exp: Aug 2107,Driver's License: L88APID6 - Exp: Jul 2101,"Home: 206 Mark Light - Suite 473, Madelineborough, NJ - 07540",,"Bank Account (027307551): $25,251.60","Animal(name='Sprout', animal_type='Amphibian', breed=""Budgett's Frog"", age=2, gender='Male')",Married,Brendan Marshall (2051 - 2100),Blevins,[Pf0a2],[P527b],Amanda Blevins (2024 -  ),Scott Hoover (2032 - 2100),Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture,Manager: General,"[Style Quest Press (2089) - Entertainment: Journalism, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale]",True,Mandy Blevins and Scott Hoover,True,True,True,Middle Age,Bill Peter Marshall,Willie Marshall,Mr.,M,Male,30.5,201 lbs,"5' 8""",2043 -  ,A+
P8bf9,Female,Julie,,Smith,,149-58-6151,Heterosexual,41,2,2058-08-28,08:37 PM,,Black,Touseled,Brown,66.5,148.1,BBdD,Doodles absentmindedly,"Flexible, Systematic, Independent",Soft,"Calculating, Greedy, Vindictive",Cell: (249) 151-3713,Personal: jsmith58@kmail.com,Passport: E53586994 - Exp: Jul 2105,Driver's License: O32IKBQ2 - Exp: Oct 2103,"Home: 5655 Samuel Rest, West Laura, NJ - 08043",Black 2020 Honda Ridgeline - Pickup - WEO 734,"Bank Account (209060213): $24,536.11",,Married,Cesar Connor Brown (2051 -  ),,"[P8c06, P3b8d, P11a6]","[Pdc04, Pb46f]",Daniel Kenneth Smith (2028 - 2085),Christy Colleen Alvarado (2029 - 2100),Style Quest Press (2089) - Entertainment: Journalism,Employee: General,"[Drive Parts (2099) - Automotive: Suppliers, FeastSip Bread (2099) - Food and Beverage: Bakery, Style Quest Press (2089) - Entertainment: Journalism]",True,Dan Smith and Crissy Alvarado,True,True,True,Middle Age,Julie Smith,Julie Smith,Mrs.,F,Male,23.5,148 lbs,"5' 6""",2058 -  ,B+
Pdc04,Male,Robert,Cody,Smith,Hob,354-99-9115,Heterosexual,52,2,2047-01-06,08:12 PM,2100-01-01,Blonde,Straight,Hazel,63.6,206.2,BBdD,Holds eye contact when interacting,"Protean, Capable, Magnanimous",Dominating,"Discouraging, Stupid, Fanciful",Cell: (833) 280-6035,Personal: robertsmith47@yakoo.com,Passport: K85802316 - Exp: Aug 2109,Driver's License: S45JTKP7 - Exp: May 2107,"Home: 4869 Julie Stream, Noahhaven, NJ - 07766",Silver 2001 Volvo S60 - Sedan - 201-447,"Bank Account (257032644): $28,950.50","Animal(name='Nala', animal_type='Cat', breed='American Wirehair', age=13, gender='Female')",Single,,,[],"[P8bf9, Pb46f]",Daniel Kenneth Smith (2028 - 2085),Christy Colleen Alvarado (2029 - 2100),Sound Quest Music (2099) - Entertainment: Music,Owner: General,"[Style Quest Press (2089) - Entertainment: Journalism, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale]",False,Dan Smith and Crissy Alvarado,True,True,True,Middle Age (Deceased),Robert Cody Smith,Hob Smith,Mr.,M,Female,35.8,206 lbs,"5' 4""",2047 - 2100,B+
Pb46f,Male,John,,Smith,,067-23-8384,Homosexual,56,2,2043-03-21,06:53 PM,,Red,Flowing,Brown,62.6,194.8,ABDD,Laughs a lot,"Hearty, Sexy, Adaptable",Dry,"Incurious, Dissolute, Crazy",Cell: (651) 633-1680,Personal: johnsmith988@kmail.com,Passport: B11459131 - Exp: Jan 2102,Driver's License: M60YCMT7 - Exp: Sep 2102,"Home: 9150 Williams Street - Suite 093, Lake Ryan, NJ - 08059",Blue 2002 Acura NSX - Coupe - 5KL 552,"Bank Account (835537788): $6,993.11",,Married,Joseph Stuart Smith (2046 -  ),,"[P6395, Pe3f1]","[P8bf9, Pdc04]",Daniel Kenneth Smith (2028 - 2085),Christy Colleen Alvarado (2029 - 2100),FeastSip Bread (2099) - Food and Beverage: Bakery,Owner: General,"[Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Dan Smith and Crissy Alvarado,True,True,True,Middle Age,John Smith,John Smith,Mr.,M,Male,34.9,195 lbs,"5' 3""",2043 -  ,AB+
Pe5f5,Female,Mary,,Smith,Polly,363-55-0426,Heterosexual,43,2,2056-11-08,07:39 AM,,Blonde,Spiky,Brown,63.6,156.0,AAdD,Blinks often,"Thorough, Firm, Knowledge",Noncommittal,"Critical, Unpolished, Uncritical",Cell: (719) 757-9171,Personal: marylee@kmail.com,Passport: C11670048 - Exp: Sep 2105,Driver's License: Q30HNKI0 - Exp: Apr 2098,"Home: 436 Thompson Shores - Apt. 591, Johnsonton, NJ - 07557",,"Bank Account (711536775): $23,333.99",,Married,John Smith (2057 - 2100),Lee,"[P86d3, P1141, Pf8a7]",[Pce38],Teresa Anna Lee (2034 -  ),Jennifer Farmer (2036 -  ),Drive Parts (2099) - Automotive: Suppliers,Employee: General,"[Sound Quest Music (2099) - Entertainment: Music, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",True,Nan Lee and Jennie Farmer,True,True,True,Middle Age,Mary Smith,Polly Smith,Mrs.,F,Male,27.1,156 lbs,"5' 4""",2056 -  ,A+
Pce38,Male,Joshua,Joe,Lee,,692-19-7223,Homosexual,54,2,2045-08-06,12:14 PM,,Blonde,Unkempt,Blue,71.4,212.9,OOdD,Speaks softly,"Observant, Stable, Vivacious",Familial,"Opinionated, Impatient, Neglectful",Cell: (654) 509-5786,Personal: joshualee259@kmail.com,Passport: T91536334 - Exp: Mar 2102,Driver's License: M42GVME8 - Exp: Aug 2100,"Home: 630 Barbara Falls - Apt. 982, Shepardfurt, NJ - 08120",Brown 1992 Chevrolet 2500 Extended Cab - Pickup - Y27-94E,"Bank Account (788186895): $5,044.30","Animal(name='Whiskers', animal_type='Cat', breed='Himalayan', age=10, gender='Male')",Married,Tyler Alan Lee (2054 - 2100),,[P1d48],[Pe5f5],Teresa Anna Lee (2034 -  ),Jennifer Farmer (2036 -  ),Zoom Dealer (2090) - Automotive: Dealership,Employee: General,"[Sound Quest Music (2099) - Entertainment: Music, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Nan Lee and Jennie Farmer,True,True,True,Middle Age,Joshua Joe Lee,Joshua Lee,Mr.,M,Male,29.4,213 lbs,"5' 11""",2045 -  ,O+
Pb90a,Female,Christina,Audrey,Zuniga,,540-33-7285,Heterosexual,50,2,2049-07-17,08:30 PM,,Black,Flowing,Hazel,66.9,141.0,AAdD,Sweats excessively,"Sage, Serious, Aspiring",Amusing,"Selfish, Fatalistic, Troublesome",Cell: (452) 287-6485,Personal: cmarshall49@kcloud.com,Passport: V90520425 - Exp: Sep 2105,Driver's License: L87DLIZ3 - Exp: Jul 2103,"Home: 600 Anthony Landing - Suite 916, Port Omar, NJ - 07894",,Bank Account (207677439): $942.90,"Animal(name='Popcorn', animal_type='Dog', breed='Labrador Retriever', age=1, gender='Male')",Married,Philip Steven Zuniga (2052 - 2100),Marshall,"[Pfb5f, P04c7, Pd5a5, P479d]","[Pd74c, Pc1bc]",Jennifer Jessica Marshall (2028 - 2100),Jesse Marshall (2023 -  ),,Unemployed,"[Invest Wise Invest (2093) - Finance: Investment Firm, FeastSip Bread (2099) - Food and Beverage: Bakery, Star Beat Journal (2098) - Entertainment: Journalism]",True,Jennifer Marshall and Jesse Marshall,True,True,False,Middle Age,Christina Audrey Zuniga,Christina Zuniga,Mrs.,F,Male,22.1,141 lbs,"5' 7""",2049 -  ,A+
Pd74c,Male,Samuel,Mitchell,Marshall,Sam,459-09-8663,Heterosexual,43,2,2056-10-11,03:14 AM,,Black,Frizzy,Blue,67.5,175.7,AAdD,Wipes clammy hands,"Reflective, Discreet, Subtle",Effeminate,"Dependent, Hateful, Silly",Cell: (262) 808-9691,Personal: smarshall697@kmail.com,Passport: I62009414 - Exp: Feb 2103,Driver's License: J94KKXM7 - Exp: Nov 2100,"Home: 521 Miller Vista, East Aaronburgh, NJ - 08352",Black 2018 Hyundai Sonata Plug-in Hybrid - Sedan - NVZ-663,"Bank Account (864416649): $27,563.57",,Married,Christine Elizabeth Silva (2050 -  ),,[P5482],"[Pb90a, Pc1bc]",Jennifer Jessica Marshall (2028 - 2100),Jesse Marshall (2023 -  ),Bite Delight Mobile (2092) - Food and Beverage: Food Truck,Owner: General,"[Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale]",True,Jennifer Marshall and Jesse Marshall,True,True,True,Middle Age,Samuel Mitchell Marshall,Sam Marshall,Mr.,M,Female,27.1,176 lbs,"5' 8""",2056 -  ,A+
Pc1bc,Male,David,Michael,Marshall,Mikey,291-30-5995,Heterosexual,54,2,2045-12-31,03:44 AM,,Blonde,Wavy,Blue,66.3,204.9,AAdD,Wears clothing with sarcastic sayings,"Self-denying, Clean, Subtle",Impersonal,"Crass, Perverse, Naive",Cell: (877) 720-0204,Personal: davidmarshall1231@kmail.com,Passport: V97030568 - Exp: Jun 2103,Driver's License: K35IBBJ6 - Exp: Jun 2105,"Home: 2284 William Mews, Port Kristenchester, NJ - 08763",,"Bank Account (568530018): $8,208.40","Animal(name='Luna', animal_type='Cat', breed='Aegean', age=7, gender='Male')",Married,Monique Donna Marshall (2049 -  ),,"[Pcc0c, Pefb3]","[Pb90a, Pd74c]",Jennifer Jessica Marshall (2028 - 2100),Jesse Marshall (2023 -  ),Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture,Employee: General,"[Style Quest Press (2089) - Entertainment: Journalism, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Jennifer Marshall and Jesse Marshall,True,True,True,Middle Age,David Michael Marshall,Mikey Marshall,Mr.,M,Female,32.8,205 lbs,"5' 6""",2045 -  ,A+
P081f,Male,Shawn,Brian,Brown,,178-43-6411,Heterosexual,48,2,2051-12-16,01:37 AM,,Blonde,Flowing,Brown,70.5,156.7,BAdD,Punches people in their arm (jokingly) to get them to lighten up,"Studious, Alert, Confident",Formal,"Ignorant, Venal, Bizarre",Cell: (936) 371-7174,Personal: shawnbrown51@yakoo.com,Passport: O87342020 - Exp: Mar 2106,Driver's License: Y85NBVH3 - Exp: Mar 2099,"Home: 598 Lopez Field, Angelaview, NJ - 07744",Red 1996 Toyota T100 Xtracab - Pickup - TB 1657,"Bank Account (688425659): $1,803.38","Animal(name='Tango', animal_type='Fish', breed='Angelfish', age=4, gender='Male')",Single,,,[],"[P0429, P1f08]",Allison Melissa Brown (2027 - 2099),Donald Adam Brown (2024 - 2100),FeastSip Bread (2099) - Food and Beverage: Bakery,Employee: General,"[Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Allison Brown and Dony Brown,True,True,True,Middle Age,Shawn Brian Brown,Shawn Brown,Mr.,M,Female,22.2,157 lbs,"5' 10""",2051 -  ,B+
P0429,Male,Cesar,Connor,Brown,,655-77-4858,Heterosexual,48,2,2051-12-26,11:06 AM,,Brown,Flowing,Green,71.5,166.5,BAdD,Wears hair in a tight bun,"Undogmatic, Admirable, Idealistic",Skeptical,"Indulgent, Unself-critical, Extravagant",Cell: (686) 319-2886,Personal: brown359@kmail.com,Passport: O30462042 - Exp: Feb 2101,Driver's License: X72FHKG6 - Exp: Feb 2099,"Home: 5655 Samuel Rest, West Laura, NJ - 08043",White 1997 Ford Econoline E250 Cargo - Van/Minivan - 2UG 847,"Bank Account (368404362): $4,557.34","Animal(name='Tasha', animal_type='Cat', breed='Serengeti', age=2, gender='Female')",Married,Julie Smith (2058 -  ),,"[P8c06, P3b8d, P11a6]","[P081f, P1f08]",Allison Melissa Brown (2027 - 2099),Donald Adam Brown (2024 - 2100),,Unemployed,"[Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture, SelectPlace Trade (2099) - Retail: Wholesale]",True,Allison Brown and Dony Brown,True,True,False,Middle Age,Cesar Connor Brown,Cesar Brown,Mr.,M,Female,22.9,166 lbs,"6' 0""",2051 -  ,B+
P1f08,Male,Tyler,Alan,Lee,,230-57-3302,Homosexual,45,2,2054-02-12,10:53 AM,2100-01-01,Blonde,Curly,Brown,64.0,206.7,BAdD,Keeps shoulders back and down,"Pruposeful, Daring, Admirable",Maternal,"Incurious, Crass, Enervated",Cell: (948) 624-2128,Personal: tylerbrown212@yakoo.com,Passport: V64772140 - Exp: Jul 2108,Driver's License: P86AEQZ7 - Exp: May 2107,"Home: 630 Barbara Falls - Apt. 982, Shepardfurt, NJ - 08120",,"Bank Account (457192457): $22,087.75",,Married,Joshua Joe Lee (2045 -  ),Brown,[P1d48],"[P081f, P0429]",Allison Melissa Brown (2027 - 2099),Donald Adam Brown (2024 - 2100),Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture,Manager: General,"[Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture, Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Allison Brown and Dony Brown,True,True,True,Middle Age (Deceased),Tyler Alan Lee,Tyler Lee,Mr.,M,Male,35.5,207 lbs,"5' 4""",2054 - 2100,B+
Pe5c0,Male,Jimmy,Brian,Torres,Bryant,242-05-5879,Heterosexual,49,2,2050-12-14,05:22 AM,2100-01-01,Blonde,Spiky,Brown,69.7,153.6,BADD,Loses appetite,"Intelligent, Extraordinary, Personable",Irreverent,"Overimaginative, Opinionated, Stupid",Cell: (582) 714-3258,Personal: jimmytorres@kcloud.com,Passport: X11759333 - Exp: Apr 2104,Driver's License: Q64KIUN4 - Exp: May 2105,"Home: 454 Stephens Park - Apt. 229, Grayton, NJ - 07995",,"Bank Account (343363559): $8,074.15",,Single,,,[],"[Pc34b, Pc336]",Kenneth Bernard Torres (2033 - 2100),Amy Torres (2022 - 2100),AutoPath Rentals (2062) - Automotive: Rental,Employee: General,"[SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Berny Torres and Amy Torres,True,True,True,Middle Age (Deceased),Jimmy Brian Torres,Bryant Torres,Mr.,M,Female,22.2,154 lbs,"5' 10""",2050 - 2100,B+
Pc34b,Female,Sara,Amanda,Torres,Manda,574-89-9378,Homosexual,44,2,2055-09-10,06:30 PM,,Blonde,Straight,Hazel,60.4,129.8,BADd,Tilts head to the side when listening,"Original, Painstaking, Captivating",Political,"Tense, Disputatious, Coarse",Cell: (401) 200-9975,Personal: saratorres55@kmail.com,Passport: L49198623 - Exp: Aug 2100,Driver's License: Z28JTRW2 - Exp: Sep 2099,"Home: 16371 Johnson Loaf - Suite 478, New Vickie, NJ - 08302",,"Bank Account (784084771): $28,175.22",,Married,Jennifer Carmen Torres (2047 - 2100),,"[P9441, P1d2f]","[Pe5c0, Pc336]",Kenneth Bernard Torres (2033 - 2100),Amy Torres (2022 - 2100),Market Store Quick (2092) - Retail: Convenience,Manager: General,"[Drive Parts (2099) - Automotive: Suppliers, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",True,Berny Torres and Amy Torres,True,True,True,Middle Age,Sara Amanda Torres,Manda Torres,Mrs.,F,Female,25.0,130 lbs,"5' 0""",2055 -  ,B+
Pc336,Female,Amy,Patricia,Torres,Patty,793-02-1553,Heterosexual,41,2,2058-05-27,12:22 AM,,Black,Unkempt,Brown,73.1,134.5,BADD,Pinches lips together tightly,"Sexy, Polished, Adaptable",Amusing,"Mealymouthed, Inhibited, Unlovable",Cell: (653) 487-5383,Personal: atorres58@kmail.com,Passport: M23024611 - Exp: Nov 2106,Driver's License: A86ADFF9 - Exp: Aug 2104,"Home: 3775 Karen Meadow - Apt. 318, Carterbury, NJ - 08249",,"Bank Account (912781349): $3,394.52",,Single,,,[],"[Pe5c0, Pc34b]",Kenneth Bernard Torres (2033 - 2100),Amy Torres (2022 - 2100),EducatePlace Center (2045) - Education: Community College,Manager: General,"[Invest Wise Invest (2093) - Finance: Investment Firm, Drive Parts (2099) - Automotive: Suppliers, FeastSip Bread (2099) - Food and Beverage: Bakery, Style Quest Press (2089) - Entertainment: Journalism]",True,Berny Torres and Amy Torres,True,True,True,Middle Age,Amy Patricia Torres,Patty Torres,Ms.,F,Male,17.7,134 lbs,"6' 1""",2058 -  ,B+
P2ad4,Male,Adam,Benjamin,Hendrix,Benjy,660-83-6239,Heterosexual,57,2,2042-04-03,01:02 PM,2100-01-01,Brown,Touseled,Brown,72.7,177.8,AOdD,Wipes clammy hands,"Protective, Sensitive, Incisive",Soft,"Dogmatic, Uncritical, Airy",Cell: (656) 170-1471,Personal: adamhendrix42@kmail.com,Passport: Z90637139 - Exp: Feb 2103,Driver's License: Q24MHZE6 - Exp: Nov 2099,"Home: 5774 Aaron Pass, West Steven, NJ - 07612",Black 2003 GMC Sonoma Crew Cab - Pickup - 25PC012,"Bank Account (363084513): $21,052.22",,Single,,,[],"[P6b9c, P4090]",Amber Dawn Hendrix (2036 -  ),Derrick Dylan Hendrix (2025 - 2091),,Unemployed,"[Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Amber Hendrix and Derrick Hendrix,True,True,False,Middle Age (Deceased),Adam Benjamin Hendrix,Benjy Hendrix,Mr.,M,Female,23.6,178 lbs,"6' 1""",2042 - 2100,A+
P6b9c,Female,Amber,Laura,Johnson,,630-49-4378,Heterosexual,39,2,2060-09-23,01:48 AM,,Grey,Straight,Brown,64.9,150.1,AODD,Chews on fingernails,"Firm, Innovative, Dignified",Irreverent,"Careless, Troublesome, Thievish",Cell: (401) 158-3357,Personal: amberhendrix@yakoo.com,Passport: V22670535 - Exp: Aug 2106,Driver's License: S94RUWI7 - Exp: Aug 2106,"Home: 1184 Graves Mountains, New Kathyhaven, NJ - 07514",Black 1996 Toyota Land Cruiser - SUV - 1869 TP,"Bank Account (916388405): $15,852.71",,Married,William Victor Johnson (2045 -  ),Hendrix,"[Pe50c, P950a]","[P2ad4, P4090]",Amber Dawn Hendrix (2036 -  ),Derrick Dylan Hendrix (2025 - 2091),Art Beat Sports (2090) - Entertainment: Sports,Manager: General,"[Invest Wise Invest (2093) - Finance: Investment Firm, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",True,Amber Hendrix and Derrick Hendrix,True,True,True,Late Young Adult,Amber Laura Johnson,Amber Johnson,Mrs.,F,Male,25.1,150 lbs,"5' 5""",2060 -  ,A+
P4090,Male,Jordan,Luis,Hendrix,,616-90-9140,Bisexual,41,2,2058-02-23,04:46 AM,,Black,Spiky,Amber,73.1,152.8,AOdD,Wears hats consistently,"Warm, Adaptable, Articulate",Amusing,"Disloyal, Expedient, Sadistic",Cell: (696) 615-2333,Personal: jhendrix@outkook.com,Passport: Q14765497 - Exp: Jul 2107,Driver's License: L92DQQJ9 - Exp: May 2107,"Home: 36927 Heather Gardens - Suite 953, Jeremyside, NJ - 07959",White 2006 Kia Optima (2006.5) - Sedan - WTJ 998,"Bank Account (462321411): $21,861.41","Animal(name='Pebbles', animal_type='Fish', breed='Betta Fish', age=3, gender='Male')",Single,,,[],"[P2ad4, P6b9c]",Amber Dawn Hendrix (2036 -  ),Derrick Dylan Hendrix (2025 - 2091),Well Hub Heal (2098) - Healthcare: Rehabilitation,Manager: General,"[Style Quest Press (2089) - Entertainment: Journalism, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale]",True,Amber Hendrix and Derrick Hendrix,True,True,True,Middle Age,Jordan Luis Hendrix,Jordan Hendrix,Mr.,M,Female,20.1,153 lbs,"6' 1""",2058 -  ,A+
Pbcd7,Male,David,Robert,Bradley,,572-26-6287,Heterosexual,51,2,2048-05-02,01:44 PM,,Black,Frizzy,Brown,67.5,189.9,AADd,Oblivious to everyone except one person,"Invulnerable, Rational, Serious",Undemanding,"Unself-critical, Libidinous, Disputatious",Cell: (221) 692-9110,Personal: dbradley306@kmail.com,Passport: L75301377 - Exp: Sep 2101,Driver's License: Y53OQFM3 - Exp: Jan 2099,"Home: 7147 Jennifer Ports, Rojasmouth, NJ - 08951",Silver 1998 Jeep Wrangler - SUV - 8-42131N,"Bank Account (307187249): $1,193.58",,Married,Denise Samantha Bradley (2052 -  ),,"[P42fb, P4070, P6c3a]",[Pa697],Kimberly Stacey Bradley (2032 -  ),Ryan Amanda Bradley (2035 - 2100),Cruise Path Travel Cars (2098) - Automotive: Rental,Employee: General,"[Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale]",True,Kimberli Bradley and Mandy Bradley,True,True,True,Middle Age,David Robert Bradley,David Bradley,Mr.,M,Female,29.3,190 lbs,"5' 8""",2048 -  ,A+
Pa697,Female,Monique,Donna,Marshall,Dona,806-73-1053,Heterosexual,50,2,2049-10-08,03:05 PM,,Black,Frizzy,Brown,65.1,149.2,AADd,Stops to listen to all street musicians,"Studious, Vivacious, Decisive",Quiet,"Hateful, Unlovable, Aloof",Cell: (893) 585-7570,Personal: bradley970@yakoo.com,Passport: A40604410 - Exp: Sep 2104,Driver's License: H96FIKC7 - Exp: Dec 2101,"Home: 2284 William Mews, Port Kristenchester, NJ - 08763",White 2011 BMW X6 - SUV - 4-39787C,"Bank Account (704884258): $29,985.17",,Married,David Michael Marshall (2045 -  ),Bradley,"[Pcc0c, Pefb3]",[Pbcd7],Kimberly Stacey Bradley (2032 -  ),Ryan Amanda Bradley (2035 - 2100),,Unemployed,[Drive Parts (2099) - Automotive: Suppliers],True,Kimberli Bradley and Mandy Bradley,True,True,False,Middle Age,Monique Donna Marshall,Dona Marshall,Mrs.,F,Male,24.7,149 lbs,"5' 5""",2049 -  ,A+
P1650,Male,Frederick,,Rhodes,Rick,294-31-1589,Homosexual,58,2,2041-08-02,07:30 AM,2100-01-01,Brown,Wavy,Hazel,67.8,198.2,BADD,Toys with rings,"Capable, Genuine, Sharing",Unaggressive,"Silly, Disputatious, Puritanical",Cell: (575) 892-1764,Personal: gonzalez509@kmail.com,Passport: G35839486 - Exp: Aug 2102,Driver's License: A32GCGO4 - Exp: Jan 2098,"Home: 18032 Davis Ways, Josechester, NJ - 08473",Blue 2007 GMC Savana 2500 Cargo - Van/Minivan - WZT 316,"Bank Account (029614251): $21,839.12",,Married,Daniel Jonathan Rhodes (2048 -  ),Gonzalez,"[P1f83, Pe3df]",[P7c82],Michael Philip Gonzalez (2027 -  ),Jessica Tammy Gonzalez (2038 -  ),,Unemployed,"[Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Mickey Gonzalez and Jessie Gonzalez,True,True,False,Middle Age (Deceased),Frederick Rhodes,Rick Rhodes,Mr.,M,Male,30.3,198 lbs,"5' 8""",2041 - 2100,B+
P7c82,Male,Damon,Gary,Gonzalez,,574-02-7092,Heterosexual,52,2,2047-08-28,05:12 AM,2100-01-01,Black,Touseled,Blue,70.7,203.8,BADD,Doodles absentmindedly,"Disciplined, Protean, Dedicated",Restrained,"Critical, Messy, Oppressed",Cell: (422) 836-6696,Personal: dgonzalez@kmail.com,Passport: H80551475 - Exp: Jun 2106,Driver's License: M65LGEO0 - Exp: Jan 2107,"Home: 2785 Michael Drive - Suite 754, Russellland, NJ - 08736",,"Bank Account (169274726): $29,381.23",,Married,Michelle Holland (2043 -  ),,"[P004d, P2eb6]",[P1650],Michael Philip Gonzalez (2027 -  ),Jessica Tammy Gonzalez (2038 -  ),Sound Quest Music (2099) - Entertainment: Music,Manager: General,[SelectPlace Trade (2099) - Retail: Wholesale],False,Mickey Gonzalez and Jessie Gonzalez,True,True,True,Middle Age (Deceased),Damon Gary Gonzalez,Damon Gonzalez,Mr.,M,Female,28.7,204 lbs,"5' 11""",2047 - 2100,B+
Pb245,Male,Barry,Dennis,Zuniga,,451-25-4265,Homosexual,44,2,2055-08-22,07:28 PM,,Brown,Frizzy,Hazel,69.3,189.0,OODd,Foot kicking slightly,"Romantic, Benevolent, Neat",Dominating,"Indulgent, Mechanical, Pedantic",Cell: (222) 446-1461,Personal: bzuniga55@kcloud.com,Passport: H48611454 - Exp: Nov 2104,Driver's License: G95MYTN6 - Exp: Nov 2107,"Home: 6725 Smith Fords, Arellanoport, NJ - 08155","White 1993 Mercury Topaz - Sedan, Coupe - 828 ACA","Bank Account (029398708): $19,035.05",,Single,,,[],"[P4539, Pc87a]",Kayla Christina Zuniga (2040 - 2100),Brian James Baker (2038 - 2096),Well Hub Heal (2098) - Healthcare: Rehabilitation,Manager: General,"[Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Crissy Zuniga and Bryan Baker,True,True,True,Middle Age,Barry Dennis Zuniga,Barry Zuniga,Mr.,M,Male,27.7,189 lbs,"5' 9""",2055 -  ,O+
P4539,Male,Philip,Steven,Zuniga,,550-57-1714,Heterosexual,47,2,2052-09-16,06:49 AM,2100-01-01,Black,Spiky,Blue,61.2,173.3,OODd,Chews on lips,"Decent, Liberal, Systematic",Private,"Venal, Superstitious, Secretive",Cell: (919) 961-9961,Personal: zuniga386@kmail.com,Passport: T27912570 - Exp: May 2108,Driver's License: Z61AFJQ1 - Exp: May 2106,"Home: 600 Anthony Landing - Suite 916, Port Omar, NJ - 07894",Black 2007 Audi RS 4 - Sedan - 693J7,"Bank Account (576197007): $8,565.97","Animal(name='Darby', animal_type='Dog', breed='Indian pariah dog', age=4, gender='Female')",Married,Christina Audrey Zuniga (2049 -  ),,"[Pfb5f, P04c7, Pd5a5, P479d]","[Pb245, Pc87a]",Kayla Christina Zuniga (2040 - 2100),Brian James Baker (2038 - 2096),Cruise Path Travel Cars (2098) - Automotive: Rental,Manager: General,[SelectPlace Trade (2099) - Retail: Wholesale],False,Crissy Zuniga and Bryan Baker,True,True,True,Middle Age (Deceased),Philip Steven Zuniga,Philip Zuniga,Mr.,M,Female,32.5,173 lbs,"5' 1""",2052 - 2100,O+
