full_name,drivers_license~number,drivers_license~issue_date,drivers_license~exp_date,drivers_license~restrictions,home~state,height,format_height,format_weight
Ashley Phillips,K21EFXS4,2099-06-06,2107-06-06,None,California,69.0,"5' 9""",118 lbs
Timothy Marcus Hines,Z02ZKGC6,2095-01-13,2103-01-13,None,Kentucky,63.3,"5' 3""",158 lbs
Mason Kevin Carroll,Z60FVXP7,2099-11-06,2107-11-06,None,New Jersey,69.4,"5' 9""",201 lbs
Timothy Thomas Lee,G57XHOR8,2094-03-25,2102-03-25,None,Oregon,66.1,"5' 6""",190 lbs
Scott Robert Conway,W53AFDY8,2093-08-22,2101-08-22,B - Corrective Lenses,Indiana,69.6,"5' 10""",183 lbs
Emily Mcgee,B84OHZE2,2099-03-10,2107-03-10,B - Corrective Lenses,New York,67.6,"5' 8""",149 lbs
Steven Daniel Hoffman,D73FKEN0,2092-10-13,2100-10-13,None,Rhode Island,72.6,"6' 1""",165 lbs
Tami Nichole Johnson,V00UTBE2,2095-05-04,2103-05-04,None,Pennsylvania,66.2,"5' 6""",158 lbs
Patricia Kathleen Adams,C53YHUM6,2093-10-07,2101-10-07,None,Washington,67.4,"5' 7""",143 lbs
Jeremy Mitchell Espinoza,H26ZHMA6,2099-10-04,2107-10-04,None,New Hampshire,59.6,"5' 0""",143 lbs
James Richard Martinez,Y85QMJE9,2090-06-08,2098-06-08,None,Louisiana,66.5,"5' 6""",222 lbs
Christopher Aaron Bass,F50SNKH9,2098-11-03,2106-11-03,B - Corrective Lenses,Kentucky,67.4,"5' 7""",154 lbs
Terri Andrea Stanley,B93AMGS1,2089-07-03,2097-07-03,None,Illinois,55.8,"4' 8""",143 lbs
Ann Carr,K12GKWW0,2090-12-03,2098-12-03,None,New Hampshire,62.3,"5' 2""",153 lbs
Chad Edwin Johnson,A13JICF7,2090-10-08,2098-10-08,None,Idaho,74.4,"6' 2""",182 lbs
Samantha Erika Lawrence,B30OQEH6,2095-10-14,2103-10-14,B - Corrective Lenses,North Dakota,62.5,"5' 2""",136 lbs
William Dale White,C96PWUV7,2098-10-23,2106-10-23,D - Daytime Only,Kentucky,77.3,"6' 5""",204 lbs
Christopher Casey Moore,I80UBXG9,2090-04-08,2098-04-08,None,New Hampshire,64.5,"5' 4""",206 lbs
Melissa Perez,O59VYLU5,2099-03-14,2107-03-14,B - Corrective Lenses,Arizona,58.7,"4' 11""",157 lbs
Vanessa Anita Mata,V65NYRK6,2098-12-28,2106-12-28,None,Nebraska,66.9,"5' 7""",130 lbs
Eric Jesse Stark,I76BGQW0,2093-09-21,2101-09-21,None,Mississippi,71.1,"5' 11""",159 lbs
Tara Hernandez,A93QQLA9,2097-05-17,2105-05-17,None,Idaho,62.9,"5' 3""",141 lbs
Daniel Randy Mckee,Q25CPIL5,2094-02-23,2102-02-23,None,California,80.3,"6' 8""",170 lbs
Jasmine Cathy Page,V82KKUL4,2093-02-16,2101-02-16,None,West Virginia,71.5,"6' 0""",144 lbs
Mary Anne Williams,X32DVRB0,2091-07-08,2099-07-08,B - Corrective Lenses,Delaware,61.1,"5' 1""",138 lbs
Kimberly Janice Higgins,G00CRPC3,2093-08-19,2101-08-19,B - Corrective Lenses,Kentucky,59.6,"5' 0""",140 lbs
Rachael Deborah Sherman,I90SQUG6,2094-12-25,2102-12-25,B - Corrective Lenses,Idaho,66.0,"5' 6""",152 lbs
Anthony Barry Thomas,I72PHHS0,2096-01-09,2104-01-09,B - Corrective Lenses,Arkansas,66.4,"5' 6""",124 lbs
Kimberly Amy Moore,W00VRWC2,2094-10-27,2102-10-27,B - Corrective Lenses,South Dakota,62.9,"5' 3""",142 lbs
Dennis Jeffrey Lambert,R41UDLT4,2096-11-10,2104-11-10,None,Arkansas,71.3,"5' 11""",188 lbs
Robert Justin Mendez,B58FKZQ8,2092-10-19,2100-10-19,D - Daytime Only,Mississippi,68.0,"5' 8""",205 lbs
Nathan Brian Benson,P15CTEV9,2095-11-15,2103-11-15,None,Washington,73.6,"6' 2""",175 lbs
Joseph Aaron Smith,I09YLRX7,2094-04-13,2102-04-13,None,Washington,69.7,"5' 10""",173 lbs
Deborah Dana Montoya,D57EZHA8,2095-07-19,2103-07-19,None,Illinois,63.5,"5' 4""",145 lbs
Caroline Casey Hines,A53IJPH3,2099-07-04,2107-07-04,None,Louisiana,68.0,"5' 8""",148 lbs
Brittany Janice Russell,B82VXZR5,2091-06-19,2099-06-19,None,Hawaii,53.8,"4' 6""",144 lbs
Eric Arthur Wang,S50CXII9,2091-03-19,2099-03-19,B - Corrective Lenses,Maine,77.0,"6' 5""",182 lbs
Christina Heather Duran,U58UICI8,2097-12-05,2105-12-05,None,Connecticut,61.7,"5' 2""",144 lbs
Lisa Christina Hopkins,P79TYXI8,2096-11-01,2104-11-01,None,Missouri,70.5,"5' 10""",142 lbs
Melanie Crawford,H52BEZG7,2096-05-19,2104-05-19,B - Corrective Lenses,Connecticut,67.6,"5' 8""",124 lbs
Anthony Kevin Garrison,V81XEIZ8,2084-11-09,2092-11-09,None,Texas,81.3,"6' 9""",194 lbs
Cindy Lori Bartlett,X94QVZU2,2090-04-22,2098-04-22,None,Tennessee,63.8,"5' 4""",138 lbs
Roberto Ernest Smith,E72XVUZ8,2093-06-21,2101-06-21,B - Corrective Lenses,Kentucky,63.7,"5' 4""",188 lbs
Kenneth Keith King,X42CNZD8,2090-03-10,2098-03-10,None,Minnesota,72.2,"6' 0""",178 lbs
William Christopher Ramirez,H17BTQD6,2097-02-21,2105-02-21,None,Oregon,74.2,"6' 2""",182 lbs
Cheryl Lucas,A49KFWM3,2095-11-20,2103-11-20,None,Alaska,63.3,"5' 3""",148 lbs
Danielle Pamela Dunn,V60MVUV3,2090-05-08,2098-05-08,None,Texas,59.0,"4' 11""",145 lbs
Jennifer Theresa Gross,E28ZKXE9,2084-07-22,2092-07-22,None,Nevada,71.0,"5' 11""",144 lbs
Cynthia Page,Y90XGYV3,2094-10-24,2102-10-24,D - Daytime Only,West Virginia,67.9,"5' 8""",140 lbs
Jared Davis,X14IKVH7,2097-12-09,2105-12-09,None,Ohio,71.3,"5' 11""",184 lbs
Samuel John Baker,J05OQCT1,2090-03-20,2098-03-20,None,District of Columbia,75.5,"6' 4""",174 lbs
Daniel Jackson,M93WPUW2,2094-07-21,2102-07-21,None,Hawaii,73.5,"6' 2""",157 lbs
Megan Lauren Freeman,J35NTUE8,2096-02-20,2104-02-20,None,Illinois,70.5,"5' 10""",155 lbs
Craig Perez,I32BVCB2,2093-12-04,2101-12-04,None,Arizona,69.3,"5' 9""",175 lbs
Nicholas Richard Salazar,X12JTJU5,2097-01-13,2105-01-13,None,Minnesota,67.6,"5' 8""",134 lbs
Ryan Bauer,A03TZNS8,2091-03-14,2099-03-14,None,Michigan,82.0,"6' 10""",134 lbs
Linda Krystal Hall,S43RXJQ0,2093-03-01,2101-03-01,None,Massachusetts,66.6,"5' 7""",137 lbs
Olivia Johnson,Q88VKKW7,2094-08-23,2102-08-23,None,Idaho,68.3,"5' 8""",123 lbs
Morgan Lindsay Gomez,I80ODJV0,2099-06-13,2107-06-13,None,Mississippi,67.2,"5' 7""",143 lbs
Jeremiah Franklin Dalton,S31IUMH0,2098-08-30,2106-08-30,None,Utah,71.7,"6' 0""",168 lbs
Tiffany Kelly Hall,Y47ARXS7,2095-06-12,2103-06-12,B - Corrective Lenses,Ohio,63.3,"5' 3""",171 lbs
Joseph Marvin Hill,K35PCZQ0,2094-02-07,2102-02-07,None,Iowa,77.9,"6' 6""",193 lbs
Erica Tiffany Ingram,C20NOES7,2090-08-30,2098-08-30,None,Minnesota,64.6,"5' 5""",146 lbs
Desiree Beth Smith,M81ZGHF0,2098-12-24,2106-12-24,None,Virginia,68.7,"5' 9""",138 lbs
Angela Lozano,U35UYIC7,2096-07-15,2104-07-15,None,Georgia,67.0,"5' 7""",162 lbs
Linda Sarah Brown,I88NOXZ2,2099-10-09,2107-10-09,None,Maine,58.9,"4' 11""",130 lbs
Judith Jennifer Gutierrez,T07UHHZ3,2086-08-25,2094-08-25,B - Corrective Lenses,Maryland,65.9,"5' 6""",149 lbs
Christopher Todd Saunders,X02TEZQ7,2096-10-15,2104-10-15,None,Texas,72.9,"6' 1""",195 lbs
Michael Stanley Gonzalez,P20WGHX9,2099-06-24,2107-06-24,None,West Virginia,64.1,"5' 4""",179 lbs
Edward Joseph Henry,K46GZXL9,2096-05-28,2104-05-28,None,South Carolina,64.7,"5' 5""",159 lbs
James Smith,Y33FPHV0,2085-07-31,2093-07-31,None,Virginia,64.9,"5' 5""",185 lbs
Jeremy Brandon Adams,Z20TCQH4,2098-08-16,2106-08-16,None,Minnesota,71.9,"6' 0""",190 lbs
Christina Kim Brown,D28OFEB7,2084-05-09,2092-05-09,None,Georgia,71.6,"6' 0""",136 lbs
Olivia Maria Adams,M90NLLK7,2098-07-13,2106-07-13,None,Minnesota,65.8,"5' 6""",140 lbs
John Christopher Shaw,N52KJCY7,2093-03-18,2101-03-18,None,Maine,72.8,"6' 1""",263 lbs
Kimberly Susan Potter,U99JZPA1,2094-12-26,2102-12-26,None,Rhode Island,67.1,"5' 7""",133 lbs
Robert Lopez,B96SFVY0,2093-01-29,2101-01-29,None,Texas,66.0,"5' 6""",213 lbs
Charles Nicholas Brennan,C98GZWR5,2090-06-29,2098-06-29,None,Arizona,68.7,"5' 9""",165 lbs
Paul Buck,C73OFWO3,2092-10-08,2100-10-08,B - Corrective Lenses,Iowa,69.0,"5' 9""",198 lbs
Joseph Jason Burke,B13YNMN6,2092-06-27,2100-06-27,None,Connecticut,71.9,"6' 0""",181 lbs
Gabriel Nicholas Harrington,Q24WYJA3,2091-05-09,2099-05-09,None,Alaska,64.1,"5' 4""",170 lbs
Glenda Andrea Kelly,O56RNXM9,2097-12-12,2105-12-12,None,District of Columbia,65.9,"5' 6""",137 lbs
Lisa Crystal White,D91UZCP9,2096-09-06,2104-09-06,None,South Dakota,69.5,"5' 10""",132 lbs
Sandy Sabrina Campbell,K35EKIJ1,2094-02-13,2102-02-13,None,Colorado,61.5,"5' 2""",126 lbs
Kathleen Rebecca Adams,F65LGOO1,2094-12-14,2102-12-14,B - Corrective Lenses,Alabama,64.9,"5' 5""",158 lbs
Kristi Denise Davis,T05FQXH7,2096-01-24,2104-01-24,None,Vermont,70.0,"5' 10""",141 lbs
Katelyn Kelly Aguilar,W30ESYI3,2093-01-13,2101-01-13,None,Florida,68.1,"5' 8""",128 lbs
David Justin Butler,R64RZNZ0,2093-10-31,2101-10-31,None,Louisiana,70.3,"5' 10""",186 lbs
Ann Nicole White,O92YVPT8,2091-08-03,2099-08-03,None,South Dakota,58.5,"4' 10""",128 lbs
Patrick Jonathan Nguyen,P42WKZP2,2090-02-21,2098-02-21,None,North Carolina,77.5,"6' 6""",193 lbs
Craig Jonathan Shannon,H06ANLQ0,2095-08-06,2103-08-06,None,New York,64.9,"5' 5""",194 lbs
Gina Kayla Dougherty,T00OHPZ2,2098-06-21,2106-06-21,None,Alaska,60.2,"5' 0""",122 lbs
Thomas David Adams,S55FZVC4,2090-06-02,2098-06-02,None,Washington,67.5,"5' 8""",150 lbs
Joseph Daniel Hubbard,X04PSXU1,2073-04-09,2081-04-09,None,Hawaii,74.4,"6' 2""",168 lbs
Matthew Timothy Smith,Q28BEUY5,2098-06-18,2106-06-18,B - Corrective Lenses,New York,65.5,"5' 6""",178 lbs
Ian Craig Snyder,L09ZVIY1,2096-09-01,2104-09-01,None,Kentucky,64.1,"5' 4""",156 lbs
Benjamin David Chambers,N58JQFZ4,2090-11-03,2098-11-03,None,Rhode Island,65.2,"5' 5""",204 lbs
Donald Gilmore,E61UZDD9,2093-03-15,2101-03-15,None,Georgia,72.3,"6' 0""",194 lbs
Ricky Bauer,R58OKSM0,2095-02-09,2103-02-09,B - Corrective Lenses,Michigan,72.0,"6' 0""",166 lbs
Sherry Kiara Wright,W99WCYS0,2097-01-25,2105-01-25,None,Montana,66.3,"5' 6""",121 lbs
John Shawn Brown,O21MOQU3,2094-11-06,2102-11-06,B - Corrective Lenses,New Mexico,64.8,"5' 5""",172 lbs
Seth Daniel Robinson,H41JYLI6,2094-08-30,2102-08-30,None,Oregon,70.7,"5' 11""",179 lbs
Steve Ryan Campbell,K67BPLY3,2069-06-20,2077-06-20,None,Colorado,73.8,"6' 2""",137 lbs
Danielle Haley Shepherd,W78IOBX0,2097-11-19,2105-11-19,None,Wyoming,60.3,"5' 0""",114 lbs
Catherine Karen Jennings,J00NIBG2,2090-09-12,2098-09-12,B - Corrective Lenses,Utah,63.8,"5' 4""",138 lbs
Alexandra Andrea Lozano,A30CKYW2,2091-09-23,2099-09-23,None,Oklahoma,63.9,"5' 4""",135 lbs
Robert Jason Anderson,P05LOMD2,2082-01-13,2090-01-13,None,District of Columbia,65.9,"5' 6""",190 lbs
Marisa Monica Bryan,G41VRTA9,2093-02-08,2101-02-08,None,Florida,65.4,"5' 5""",161 lbs
Johnny Chad Sanford,V42HWUZ5,2094-10-26,2102-10-26,None,Idaho,68.1,"5' 8""",153 lbs
Martin Richard Hill,B69ZTXG1,2090-03-18,2098-03-18,None,South Dakota,76.4,"6' 4""",177 lbs
Karen Carrie Levy,S09SNNG2,2097-09-15,2105-09-15,None,Idaho,68.5,"5' 8""",145 lbs
Angela Lauren Foley,S29DYCB5,2092-07-08,2100-07-08,B - Corrective Lenses,California,61.4,"5' 1""",136 lbs
Carrie Ashley Hughes,C21EJYV4,2095-05-13,2103-05-13,None,Oregon,69.5,"5' 10""",151 lbs
Mary Ebony Reed,I82QTQU5,2087-05-19,2095-05-19,B - Corrective Lenses,Connecticut,64.2,"5' 4""",156 lbs
Candice Susan James,L43WHAY3,2085-05-16,2093-05-16,None,Florida,64.8,"5' 5""",149 lbs
Rhonda Jessica Owens,Q85TPVE5,2098-03-12,2106-03-12,None,Georgia,60.7,"5' 1""",146 lbs
Kathy Lucas,R02QRLX5,2092-08-14,2100-08-14,None,Missouri,63.0,"5' 3""",147 lbs
Christopher Dustin Anderson,H02AMGB3,2092-12-21,2100-12-21,None,Ohio,69.8,"5' 10""",207 lbs
Michelle Ramirez,E40DODD3,2092-05-26,2100-05-26,None,West Virginia,64.9,"5' 5""",158 lbs
Erin Valerie Hicks,V27YMCE3,2096-09-08,2104-09-08,B - Corrective Lenses,Texas,68.5,"5' 8""",155 lbs
Ellen Drake,L85FXJU9,2096-09-08,2104-09-08,B - Corrective Lenses,Iowa,63.9,"5' 4""",139 lbs
Bryan Travis Lucas,N09YMNW2,2099-09-06,2107-09-06,None,Alaska,75.1,"6' 3""",179 lbs
Doris Ashley Estrada,M43NDWE2,2094-07-07,2102-07-07,B - Corrective Lenses,Kentucky,60.4,"5' 0""",131 lbs
Sarah Melissa Garza,Q64YINQ4,2090-06-13,2098-06-13,None,North Dakota,64.3,"5' 4""",143 lbs
Michelle Toni Hill,R99LFGS7,2097-09-18,2105-09-18,None,Iowa,63.7,"5' 4""",132 lbs
Hannah Anna Hart,U83DDFP5,2098-01-07,2106-01-07,None,Nebraska,65.1,"5' 5""",162 lbs
Dylan Robert Davila,V74OKQE8,2097-11-24,2105-11-24,None,Mississippi,62.4,"5' 2""",177 lbs
Lori Rachel Morton,V34BNIR0,2093-05-24,2101-05-24,None,Georgia,64.6,"5' 5""",126 lbs
Andrew William Roy,Z34VGNR6,2085-10-18,2093-10-18,None,Idaho,73.9,"6' 2""",184 lbs
Michael James Aguilar,U88JQWK0,2096-11-04,2104-11-04,None,Florida,60.8,"5' 1""",168 lbs
Sarah Rebecca Smith,K58OGHB6,2097-05-20,2105-05-20,None,Arkansas,66.8,"5' 7""",137 lbs
Brandon Adam Lowe,T84SJRN2,2095-09-19,2103-09-19,None,Virginia,70.4,"5' 10""",160 lbs
Desiree Kristin Matthews,U04EMSW7,2087-07-17,2095-07-17,None,Nevada,67.3,"5' 7""",137 lbs
Jennifer Cheyenne Taylor,K57HMBY5,2093-09-21,2101-09-21,None,Mississippi,65.3,"5' 5""",151 lbs
Scott Randall Jones,E71CWOE5,2093-12-06,2101-12-06,None,New Mexico,64.3,"5' 4""",170 lbs
Evan Bryan Nelson,T26UEMZ0,2091-12-18,2099-12-18,None,Mississippi,73.5,"6' 2""",190 lbs
Gina Angela Archer,B92CKGY7,2094-03-01,2102-03-01,None,Maryland,55.5,"4' 8""",139 lbs
Michael Lamb,M47COES5,2098-01-22,2106-01-22,None,Wisconsin,69.2,"5' 9""",180 lbs
Michael Joseph Gonzalez,T39KXCW7,2090-09-22,2098-09-22,None,District of Columbia,65.5,"5' 6""",168 lbs
Ashley Murray,D87VHPR5,2097-10-22,2105-10-22,None,Utah,55.8,"4' 8""",147 lbs
Juan Douglas Griffin,Z54WXXU1,2097-12-19,2105-12-19,None,Ohio,82.4,"6' 10""",180 lbs
Austin Sutton,N23AWXL8,2093-08-11,2101-08-11,None,South Dakota,62.6,"5' 3""",177 lbs
Rachel Katelyn Mathis,X29CQIZ2,2093-04-24,2101-04-24,B - Corrective Lenses,California,67.1,"5' 7""",143 lbs
Vanessa Debra Mcdaniel,M53GOYJ5,2098-05-31,2106-05-31,None,North Dakota,68.6,"5' 9""",132 lbs
Nicole Sabrina Myers,M65QYBR2,2098-03-01,2106-03-01,D - Daytime Only,Maine,62.5,"5' 2""",136 lbs
Justin Zachary Norton,A09MUGK2,2090-05-03,2098-05-03,None,California,67.5,"5' 8""",186 lbs
Molly Anderson,K26KCFX3,2090-02-02,2098-02-02,None,New Jersey,66.7,"5' 7""",143 lbs
Christopher Jose Luna,P07PGDT4,2098-01-25,2106-01-25,None,California,72.1,"6' 0""",170 lbs
Samuel Timothy Torres,F71UKLM2,2090-05-05,2098-05-05,B - Corrective Lenses,South Dakota,67.5,"5' 8""",183 lbs
Brittany Cynthia Ware,P32HJHD0,2090-02-21,2098-02-21,None,Oregon,64.5,"5' 4""",139 lbs
Hannah Anna Castaneda,P77ZTHN8,2094-02-15,2102-02-15,None,Virginia,66.1,"5' 6""",133 lbs
Nathan Hill,Y97VOJD2,2093-08-12,2101-08-12,B - Corrective Lenses,Rhode Island,71.5,"6' 0""",172 lbs
Laura Carrie Frost,H23ECRP0,2096-05-26,2104-05-26,None,Michigan,63.7,"5' 4""",136 lbs
Robert Martin,Q42GUMQ1,2099-04-13,2107-04-13,None,New Jersey,68.2,"5' 8""",179 lbs
Christopher Derrick Preston,D67IAZP5,2090-05-25,2098-05-25,None,Virginia,60.6,"5' 1""",189 lbs
Clayton Jack Duran,R33GQMH2,2094-01-03,2102-01-03,None,Montana,70.7,"5' 11""",198 lbs
Garrett David Smith,X38SMAT4,2091-12-05,2099-12-05,None,Mississippi,81.4,"6' 9""",170 lbs
Candice Henry,W81ZRBK6,2080-04-21,2088-04-21,None,South Carolina,62.7,"5' 3""",144 lbs
Amber Tiffany Barnett,L76WPGO1,2093-05-14,2101-05-14,None,District of Columbia,63.0,"5' 3""",138 lbs
Wendy Carolyn Lee,Q98MYRP1,2084-07-23,2092-07-23,B - Corrective Lenses,Oregon,61.0,"5' 1""",147 lbs
Kenneth Ronald Allen,F96HESE2,2099-06-05,2107-06-05,None,Massachusetts,69.0,"5' 9""",200 lbs
Brent Andrew Lawrence,K47FBTJ9,2097-02-16,2105-02-16,D - Daytime Only,Arkansas,70.2,"5' 10""",200 lbs
Seth James Terry,D42ZLLV3,2095-12-11,2103-12-11,None,Maine,73.0,"6' 1""",176 lbs
Ashley Nicole Jones,A88KAVQ1,2098-02-02,2106-02-02,None,New Mexico,68.3,"5' 8""",138 lbs
Kimberly Jennifer Hernandez,Z20RUQM7,2063-02-22,2071-02-22,None,South Dakota,65.0,"5' 5""",114 lbs
Briana Michelle Brown,H50ECLR1,2099-05-23,2107-05-23,None,North Dakota,67.1,"5' 7""",142 lbs
Tiffany Sarah Garcia,E88YYQH3,2099-11-21,2107-11-21,None,Massachusetts,62.1,"5' 2""",142 lbs
Cynthia Cindy Martinez,W98EOMZ0,2098-02-16,2106-02-16,None,Oregon,64.4,"5' 4""",139 lbs
Bryan Spencer Brown,R78YIOB7,2096-11-17,2104-11-17,B - Corrective Lenses,North Dakota,74.4,"6' 2""",169 lbs
John Marcus Rich,R28YFXH7,2077-07-03,2085-07-03,None,Massachusetts,70.8,"5' 11""",228 lbs
Stephanie Connie Wood,O19WAYV0,2079-05-21,2087-05-21,B - Corrective Lenses,Colorado,63.3,"5' 3""",160 lbs
Richard Jeremiah Long,V99DBUW0,2095-06-22,2103-06-22,None,Florida,69.4,"5' 9""",183 lbs
Michael Dean Fry,B62JAQU6,2078-02-27,2086-02-27,None,Nebraska,68.3,"5' 8""",168 lbs
Lynn Miller,B31HHUB2,2097-11-03,2105-11-03,None,New Hampshire,65.4,"5' 5""",146 lbs
Nathan Michael Jones,D51JFFZ2,2099-03-06,2107-03-06,None,Montana,56.9,"4' 9""",210 lbs
Nichole Amanda Spencer,V69SNAZ6,2093-03-24,2101-03-24,None,Minnesota,66.7,"5' 7""",145 lbs
Mark Bryan Bryan,K65HOMN1,2077-02-06,2085-02-06,B - Corrective Lenses,Florida,70.9,"5' 11""",191 lbs
Sean Juan Davis,Q35MAQJ3,2093-12-12,2101-12-12,D - Daytime Only,Mississippi,71.3,"5' 11""",161 lbs
Cody Jaime Roth,W81BVEW2,2093-08-25,2101-08-25,D - Daytime Only,Kansas,66.1,"5' 6""",166 lbs
Bruce Marc Williams,V93YYKS0,2097-10-15,2105-10-15,None,West Virginia,60.1,"5' 0""",184 lbs
Daniel Barton,Y48EECQ4,2092-09-27,2100-09-27,None,South Carolina,70.4,"5' 10""",206 lbs
Angela Mccoy,I00VYPU8,2082-02-09,2090-02-09,None,Washington,63.3,"5' 3""",136 lbs
Sara Stephanie Lucas,B96MKLI4,2093-05-23,2101-05-23,None,Virginia,67.0,"5' 7""",138 lbs
Robert James Clarke,T75LHYI6,2090-10-08,2098-10-08,None,Missouri,74.2,"6' 2""",161 lbs
Jesus John Walters,X95VQEB6,2092-11-23,2100-11-23,None,Idaho,70.9,"5' 11""",176 lbs
Bradley Leonard Frost,K64HZNV0,2082-08-31,2090-08-31,None,New Hampshire,68.0,"5' 8""",175 lbs
Erik Kyle Diaz,K81DANI7,2099-07-21,2107-07-21,None,Idaho,67.6,"5' 8""",215 lbs
Sherry Kimberly Brown,H42GDGR8,2091-07-31,2099-07-31,B - Corrective Lenses,North Dakota,64.7,"5' 5""",139 lbs
Debra Olivia Hunt,W42GWMC1,2090-01-01,2098-01-01,None,Georgia,68.9,"5' 9""",158 lbs
Larry Richard Hopkins,H20WHOS7,2094-01-02,2102-01-02,None,Missouri,65.5,"5' 6""",160 lbs
Eddie Frederick,A79DPIG5,2097-04-21,2105-04-21,None,Nebraska,70.2,"5' 10""",186 lbs
Matthew Johnson,P71ADRS1,2099-05-11,2107-05-11,None,Mississippi,65.9,"5' 6""",204 lbs
Joseph Harry Collins,N18IXKP4,2092-01-19,2100-01-19,None,Virginia,62.6,"5' 3""",195 lbs
Carol Sophia Carter,K80ZDDK4,2092-09-01,2100-09-01,None,Rhode Island,59.7,"5' 0""",139 lbs
Maurice Nathan Lopez,K09UELU6,2077-12-04,2085-12-04,None,New Hampshire,68.5,"5' 8""",178 lbs
Jeffrey David Roberts,N91CZVD9,2090-05-07,2098-05-07,None,Delaware,70.6,"5' 11""",164 lbs
Mary Ryan Williams,H86RPEE1,2099-01-30,2107-01-30,None,Idaho,68.6,"5' 9""",136 lbs
John Aaron Dixon,U85NJYE1,2099-08-22,2107-08-22,None,Nevada,72.8,"6' 1""",148 lbs
Victor Kevin Carpenter,K48YWJE3,2098-12-11,2106-12-11,None,Delaware,75.1,"6' 3""",186 lbs
Scott Ian Hoover,Q29EFOT2,2094-05-16,2102-05-16,None,Kentucky,68.4,"5' 8""",162 lbs
Erin Miller,R23TBEK3,2094-07-18,2102-07-18,D - Daytime Only,Arkansas,60.5,"5' 0""",134 lbs
Alexis Cindy Dalton,L55NWLN6,2099-04-01,2107-04-01,None,Utah,64.4,"5' 4""",140 lbs
Andrew Seth Allen,E21WULG8,2094-07-31,2102-07-31,None,Washington,72.6,"6' 1""",255 lbs
Margaret Torres,V81EALQ7,2099-11-04,2107-11-04,None,South Dakota,59.0,"4' 11""",139 lbs
Dillon Jacob Williams,M75TPOJ0,2093-07-14,2101-07-14,None,Alaska,67.9,"5' 8""",194 lbs
Margaret Theresa Gates,V67NRVN5,2092-01-26,2100-01-26,None,Utah,73.6,"6' 2""",137 lbs
Jose Jordan Dixon,W27CYCV7,2091-10-28,2099-10-28,None,Oregon,72.5,"6' 0""",155 lbs
Danielle Garcia,V16BYZQ8,2097-09-16,2105-09-16,None,Massachusetts,64.2,"5' 4""",137 lbs
Dennis Nicholas Young,P34SAQI6,2095-02-23,2103-02-23,None,Vermont,68.1,"5' 8""",208 lbs
Alexander Keith Duran,J61LCUP7,2090-11-28,2098-11-28,None,Connecticut,70.0,"5' 10""",155 lbs
Caroline April Mccoy,G88CNXC8,2094-12-08,2102-12-08,None,Connecticut,70.5,"5' 10""",123 lbs
Devin James Hall,X41FSEJ7,2091-05-14,2099-05-14,B - Corrective Lenses,Massachusetts,65.9,"5' 6""",208 lbs
Christopher Clay,Q12JAEP1,2098-11-27,2106-11-27,None,Maryland,69.0,"5' 9""",179 lbs
Danielle Sandra Guerrero,X74QFIK2,2096-09-30,2104-09-30,None,Louisiana,68.0,"5' 8""",156 lbs
Andrew George Edwards,W99GWPT1,2089-06-12,2097-06-12,None,West Virginia,65.1,"5' 5""",200 lbs
Jonathan Dennis Johnson,R17FLOZ8,2092-05-10,2100-05-10,None,Vermont,70.6,"5' 11""",256 lbs
Ashley Wendy Bullock,Y50WNST4,2096-12-27,2104-12-27,None,Oklahoma,70.0,"5' 10""",120 lbs
Seth Michael Roberts,P22MIGN5,2080-11-02,2088-11-02,None,Ohio,68.4,"5' 8""",163 lbs
James David Williams,S92GQWU5,2096-06-06,2104-06-06,None,District of Columbia,64.1,"5' 4""",164 lbs
Jessica Jacqueline Phillips,N53DBRG4,2099-01-09,2107-01-09,None,Texas,65.4,"5' 5""",154 lbs
Bryan Brian Campbell,A14BDYF3,2096-01-28,2104-01-28,None,Kentucky,79.8,"6' 8""",186 lbs
Tracy Lisa Thompson,D96QBBT5,2096-01-03,2104-01-03,None,Louisiana,61.5,"5' 2""",165 lbs
Charlene Denise Lewis,Y45CMSW3,2095-11-09,2103-11-09,None,Colorado,66.6,"5' 7""",150 lbs
Kimberly Karen Peterson,T19EIKB3,2092-03-16,2100-03-16,None,New York,54.9,"4' 7""",157 lbs
Johnny Steven Snyder,O34QHIV5,2096-06-16,2104-06-16,None,Utah,68.2,"5' 8""",201 lbs
Stephen Terrence Mosley,R32STDS3,2086-07-29,2094-07-29,None,Indiana,65.2,"5' 5""",160 lbs
Michael Jerry Frost,A92XOWY2,2096-02-09,2104-02-09,None,Michigan,72.6,"6' 1""",163 lbs
Jose Moore,E14EEON6,2092-10-28,2100-10-28,B - Corrective Lenses,Minnesota,68.1,"5' 8""",198 lbs
Joseph Ricardo Myers,J69EIOA8,2091-02-02,2099-02-02,None,Mississippi,63.8,"5' 4""",173 lbs
Rachel Lisa Murphy,E17SJUN5,2080-03-22,2088-03-22,None,Colorado,66.8,"5' 7""",148 lbs
Kimberly Johnson,L70YLKE0,2090-08-31,2098-08-31,B - Corrective Lenses,Alabama,68.8,"5' 9""",143 lbs
Carrie Martinez,H93HJYH9,2091-11-27,2099-11-27,None,Kentucky,66.3,"5' 6""",131 lbs
Matthew Taylor Herring,A29WRWI0,2092-06-18,2100-06-18,None,Kentucky,74.5,"6' 2""",199 lbs
Pedro Arthur Cantrell,B66JPZW3,2090-01-04,2098-01-04,None,Hawaii,79.0,"6' 7""",193 lbs
