id,gender,first_name,middle_name,last_name,nickname,ssn,sexual_orientation,age,generation,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,blood_type_allele,mannerisms,positive_traits,neutral_traits,negative_traits,phone_number,email,passport,drivers_license,home,vehicle,bank_account,pet,marital_status,spouse,maiden_name,children,siblings,parent_a,parent_b,employer,role,salary,work_days,work_hours,patron_of,list_of_family,is_alive,parents,can_work,can_marry,is_working,age_group,full_name,name,title,gender_abbr,desired_gender,body_mass_index,format_weight,format_height,years_lived,blood_type
P5bac,Female,Linda,,Nelson,,631-59-4430,Heterosexual,71,3,2028-05-04,04:38 AM,,Black,Curly,Hazel,72.7,141.7,ABDD,Keeps shoulders back and down,"Intuitive, Steadfast, Sensitive",Huried,"Biosterous, Opinionated, Domineering",(997) 464-8894,Personal: nelson285@yakoo.com,Passport: K44521462 - Exp: May 2109,Driver's License: N70EZDG7 - Exp: Mar 2105,"Residence (val:2/size:1): 44 Denville Road, Baxter Center, Dumphrey - 00000","White 2014 Hyundai Accent - Hatchback, Sedan - 667F","Bank Account (812948057): $104,899.53",,Single,,,[],[],,,Foodr (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,Linda Nelson,Linda Nelson,Ms.,F,Male,18.8,142 lbs,"6' 1""",2028 -  ,AB+
P5c01,Male,Adam,Charles,Solomon,,459-48-0734,Heterosexual,71,3,2028-01-08,08:25 PM,,Brown,Spiky,Brown,68.7,132.1,OOdd,Foot kicking slightly,"Youthful, Shrewd, Reliable",Freewheeling,"One-sided, Decadent, Uncooperative",(644) 680-5391,Personal: asolomon18@kmail.com,Passport: S68590334 - Exp: Oct 2104,Driver's License: T74IBKU6 - Exp: Oct 2106,"Residence (val:2/size:4): 60 Denville Road - Apartment 501, Baxter Center, Dumphrey - 00000",Black 2005 Nissan Xterra - SUV - 891 TAT,"Bank Account (905037629): $246,099.43",,Married,Whitney Glover (2026 - 2100),,[Pdfb4],[],,,Foodr (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pd91c, Pdfb4]",True,,True,True,True,Senior,Adam Charles Solomon,Adam Solomon,Mr.,M,Female,19.7,132 lbs,"5' 9""",2028 -  ,O-
P501a,Female,Gina,Jacqueline,Key,Jacqui,117-40-6643,Heterosexual,69,3,2020-03-24,12:09 AM,2089-06-15,Black,Straight,Blue,66.3,125.9,ABDD,Crosses arms while holding elbows,"Firm, Sporting, Disciplined",Modern,"Prejudiced, One-sided, Ritualistic",(847) 190-6043,Personal: ginalyons20@kcloud.com,Passport: G29701401 - Exp: Apr 2091,Driver's License: U17GSSH5 - Exp: Dec 2087,"Residence (val:2/size:2): 25 Baxter Boulevard, Baxter Center, Dumphrey - 00000",White 1998 Honda Passport - SUV - 5Y F9642,"Bank Account (668035584): $20,583.63",,Married,John Michael Key (2031 -  ),Lyons,"[Pea56, P9766]",[],,,youGrocery (2001) - Grocery,Vice President: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P216c, Pea56, P9766]",False,,True,True,True,Senior (Deceased),Gina Jacqueline Key,Jacqui Key,Mrs.,F,Male,20.1,126 lbs,"5' 6""",2020 - 2089,AB+
P1362,Female,Elizabeth,Katherine,Smith,Lizzy,445-20-1554,Heterosexual,60,3,2032-12-13,04:37 PM,2093-11-30,Brown,Curly,Hazel,68.5,140.8,OODD,Plays with index finger,"Patient, Earnest, Realistic",Private,"One-dimensional, Callous, Oppressed",(874) 700-7382,Personal: esosa32@kcloud.com,Passport: H81141553 - Exp: Apr 2100,Driver's License: N76LNRX2 - Exp: Jul 2095,"Residence (val:5/size:5): 38 East Maple Street, Baxter Center, Dumphrey - 00000",Gold 2006 Mercury Mariner - SUV - O55 4IH,"Bank Account (810231035): $24,367.86","Animal(name='Kitty', animal_type='Cat', breed='Ukrainian Levkoy', age=4, gender='Female')",Married,Mark William Smith (2029 - 2100),Sosa,[P2330],[],,,Healthn (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P1f3d, P2330]",False,,True,True,True,Senior (Deceased),Elizabeth Katherine Smith,Lizzy Smith,Mrs.,F,Male,21.1,141 lbs,"5' 8""",2032 - 2093,O+
Pcd21,Female,Kayla,,Arnold,,366-55-2219,Heterosexual,71,3,2023-07-28,04:48 AM,2095-01-01,Black,Unkempt,Brown,65.8,146.6,BBDd,Stands with feet apart,"Dramatic, Principled, Moderate",Intense,"Brittle, Submissive, Power-hungry",(531) 727-0948,Personal: karnold@yakoo.com,Passport: M36618871 - Exp: Jul 2101,Driver's License: W90BKXR9 - Exp: May 2095,"Residence (val:3/size:4): 23 West Chestnut Street - Apartment 501, Baxter Center, Dumphrey - 00000",Red 1999 Acura RL - Sedan - 64I 7230,"Bank Account (236362893): $36,585.98","Animal(name='Ozzy', animal_type='Dog', breed='Styrian Coarse-haired Hound', age=3, gender='Male')",Married,Jeffrey Williamson (2039 -  ),,"[P153e, P8a0d, P37b0]",[],,,Foodr (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P4d26, P153e, P8a0d, P37b0]",False,,True,True,True,Senior (Deceased),Kayla Arnold,Kayla Arnold,Mrs.,F,Male,23.8,147 lbs,"5' 6""",2023 - 2095,B+
Pd216,Female,Jessica,,Winters,Jess,351-93-9508,Homosexual,76,3,2023-06-06,08:41 AM,2100-01-01,Black,Flowing,Grey,57.5,130.5,AAdd,Wears clothing with cartoon figures,"Self-critical, Cultured, Popular",Boyish,"Confused, Softheaded, Faithless",(641) 734-3934,Personal: jessicawinters23@kcloud.com,Passport: O40430477 - Exp: Feb 2109,Driver's License: S55SQWQ4 - Exp: Jul 2104,"Residence (val:1/size:4): 46 Cantor Street - Apartment 508, Baxter Center, Dumphrey - 00000",,"Bank Account (431674127): $49,358.72",,Single,,,[],[],,,Foodr (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Jessica Winters,Jess Winters,Ms.,F,Female,27.7,130 lbs,"4' 10""",2023 - 2100,A-
P8adc,Female,Danielle,Heather,Castillo,,714-92-9518,Heterosexual,64,3,2035-12-13,09:27 PM,2100-01-01,Blonde,Straight,Brown,68.8,127.2,OODd,Wears hats consistently,"Sage, Steady, Well-bred",Droll,"Undisciplined, Coarse, Egocentric",(917) 341-3260,Personal: daniellecastillo1213@kmail.com,Passport: X66942666 - Exp: Dec 2109,Driver's License: Y73QEUT9 - Exp: Sep 2107,"Residence (val:3/size:2): 21 West Larch Street, Baxter Center, Dumphrey - 00000",Silver 2016 Volvo XC60 - SUV - 9S C8724,"Bank Account (498139846): $34,757.16","Animal(name='Chloe', animal_type='Cat', breed='Peterbald', age=10, gender='Male')",Single,,,[],[],,,Healthn (2001) - Grocery,Vice President: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Danielle Heather Castillo,Danielle Castillo,Ms.,F,Male,18.9,127 lbs,"5' 9""",2035 - 2100,O+
P9e45,Female,Heather,,Poole,Hetty,213-84-0586,Heterosexual,73,3,2026-06-22,02:47 PM,,Blonde,Unkempt,Brown,70.0,131.2,BBdd,Wears sleeves long with thumb holes to cover lower part of palm,"Conciliatory, Incorruptible, Directed",Circumspect,"Possessive, Uncritical, Callous",(799) 406-9476,Personal: poole799@hokmail.com,Passport: Y44084441 - Exp: Aug 2100,Driver's License: T40XAGF2 - Exp: Nov 2100,"Residence (val:6/size:5): 10 East Maple Street, Baxter Center, Dumphrey - 00000",White 2000 GMC Sierra (Classic) 3500 Regular Cab - Pickup - FU4 6884,"Bank Account (856701215): $232,145.60","Animal(name='Sassy', animal_type='Cat', breed='Singapura', age=5, gender='Female')",Single,,,[],[],,,youGrocery (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,Heather Poole,Hetty Poole,Ms.,F,Male,18.8,131 lbs,"5' 10""",2026 -  ,B-
P216c,Male,John,Michael,Key,,465-43-4763,Heterosexual,68,3,2031-05-26,01:37 AM,,Blonde,Frizzy,Brown,66.2,153.4,BBDd,Rarely smiles,"Disciplined, Sober, Focused",Huried,"Arrogantt, One-dimensional, Dissolute",(726) 615-6200,Personal: jkey@yakoo.com,Passport: Q78365561 - Exp: Jun 2103,Driver's License: A57ARZQ3 - Exp: Mar 2105,"Residence (val:2/size:2): 25 Baxter Boulevard, Baxter Center, Dumphrey - 00000",,"Bank Account (912354697): $269,410.37","Animal(name='Tiger', animal_type='Cat', breed='American Wirehair', age=0, gender='Male')",Married,Gina Jacqueline Key (2020 - 2089),,"[Pea56, P9766]",[],,,youGrocery (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P501a, Pea56, P9766]",True,,True,True,True,Senior,John Michael Key,John Key,Mr.,M,Female,24.6,153 lbs,"5' 6""",2031 -  ,B+
Pc2d4,Male,Jonathan,James,Johnson,,264-80-3147,Homosexual,60,3,2039-09-01,06:38 PM,2100-01-01,Brown,Spiky,Hazel,65.7,192.7,ABDD,Rocking back and forth on heels,"Hearty, Painstaking, Self-sufficent",Deceptive,"Anxious, Extravagant, Sordid",(432) 837-3962,Personal: jonathanjensen91@kmail.com,Passport: U42637538 - Exp: Dec 2103,Driver's License: E58XJTP7 - Exp: Apr 2103,"Residence (val:3/size:19): 15 East Maple Street - Apartment 1005, Baxter Center, Dumphrey - 00000",,"Bank Account (153773837): $48,190.84",,Married,Randy Daniel Johnson (2030 - 2100),Jensen,[Pf0b0],[],,,youGrocery (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P98b7, Pf0b0]",False,,True,True,True,Senior (Deceased),Jonathan James Johnson,Jonathan Johnson,Mr.,M,Male,31.4,193 lbs,"5' 6""",2039 - 2100,AB+
P9aae,Male,David,Craig,Harris,Dave,254-41-3381,Heterosexual,77,3,2022-01-22,10:28 AM,,White,Straight,Brown,70.9,179.0,AAdd,Shows off expensive jewelry,"Courteous, Felicific, Rational",Self-conscious,"Trendy, Irrational, Irascible",(835) 205-7154,Personal: dharris122@kmail.com,Passport: X67303262 - Exp: Apr 2107,Driver's License: A71TVVK1 - Exp: Sep 2098,"Residence (val:3/size:4): 27 West Chestnut Street - Apartment 1209, Baxter Center, Dumphrey - 00000",Red 1992 Cadillac Seville - Sedan - 208DIQ,"Bank Account (054752111): $167,410.12","Animal(name='Duncan', animal_type='Dog', breed='Yorkshire Terrier', age=15, gender='Female')",Single,,,[],[],,,youGrocery (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,David Craig Harris,Dave Harris,Mr.,M,Female,25.0,179 lbs,"5' 11""",2022 -  ,A-
P7cc7,Female,Emma,Christina,Garcia,Emmy,705-11-5074,Heterosexual,68,3,2031-01-14,07:08 AM,,Brown,Curly,Brown,58.1,153.7,ABDd,Wears clothing with cartoon figures,"Clever, Precise, Methodical",Neutral,"Vague, Overimaginative, Mealymouthed",(123) 499-4487,Personal: emmagarcia31@kcloud.com,Passport: T56627107 - Exp: Mar 2108,Driver's License: I05VZHE1 - Exp: Apr 2100,"Residence (val:3/size:2): 3A East Larch Street - Apartment G9, Baxter Center, Dumphrey - 00000",,"Bank Account (676068459): $98,116.70",,Single,,,[],[],,,AffordableHub (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,Emma Christina Garcia,Emmy Garcia,Ms.,F,Male,32.0,154 lbs,"4' 10""",2031 -  ,AB+
P3093,Male,Matthew,Derrick,Delgado,Thias,653-23-5138,Homosexual,59,3,2040-04-05,10:00 AM,2100-01-01,Brown,Curly,Hazel,65.3,171.3,AODD,Scrambles around frantically,"Objective, Optimistic, Reliable",Conservative,"Agonizing, Inhibited, Anxious",(191) 738-0095,Personal: matthewlee466@kmail.com,Passport: L34230748 - Exp: Mar 2106,Driver's License: U46ARLL1 - Exp: Nov 2101,"Residence (val:4/size:4): 31 West Chestnut Street - Apartment C4, Baxter Center, Dumphrey - 00000",,"Bank Account (064915562): $26,618.17",,Married,John Anthony Delgado (2029 -  ),Lee,"[P6ab4, P91a8]",[],,,Healthn (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P39ce, P6ab4, P91a8]",False,,True,True,True,Middle Age (Deceased),Matthew Derrick Delgado,Thias Delgado,Mr.,M,Male,28.2,171 lbs,"5' 5""",2040 - 2100,A+
Pec65,Male,Mark,John,Lambert,Johnny,188-06-1724,Heterosexual,67,3,2032-10-16,06:07 AM,2100-01-01,Black,Wavy,Brown,70.1,190.7,AODD,Always carries a gun,"Creative, Winning, Self-sufficent",Solitary,"Selfish, Inhibited, Fawning",(179) 184-7224,Personal: mlambert1016@kmail.com,Passport: Q20770968 - Exp: May 2105,Driver's License: A41SRZB2 - Exp: Dec 2105,"Residence (val:2/size:4): 45 Greenaway Road - Apartment 802, Baxter Center, Dumphrey - 00000",Black 2019 Mercedes-Benz Metris Cargo - Van/Minivan - 272 YOF,"Bank Account (013547625): $6,520.13","Animal(name='Gingersnap', animal_type='Rodent', breed='Guinea Pig', age=12, gender='Female')",Married,Lisa Terri Lambert (2039 - 2099),,"[Pea12, P1be7]",[],,,AffordableHub (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pcc3f, Pea12, P1be7]",False,,True,True,True,Senior (Deceased),Mark John Lambert,Johnny Lambert,Mr.,M,Female,27.3,191 lbs,"5' 10""",2032 - 2100,A+
P1f3d,Male,Mark,William,Smith,Bela,170-15-5932,Heterosexual,70,3,2029-03-21,09:47 AM,2100-01-01,Grey,Unkempt,Blue,68.4,187.4,AAdd,Looks down when walking,"Admirable, Tasteful, Reverential",Deceptive,"Selfish, Unstable, Fawning",(846) 780-5693,Personal: msmith29@hokmail.com,Passport: J21166385 - Exp: Nov 2100,Driver's License: H84NJSI0 - Exp: Nov 2107,"Residence (val:5/size:5): 38 East Maple Street, Baxter Center, Dumphrey - 00000",Silver 2001 Dodge Dakota Regular Cab - Pickup - 0RE O16,"Bank Account (547662262): $49,359.87",,Married,Elizabeth Katherine Smith (2032 - 2093),,[P2330],[],,,Healthn (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P1362, P2330]",False,,True,True,True,Senior (Deceased),Mark William Smith,Bela Smith,Mr.,M,Female,28.2,187 lbs,"5' 8""",2029 - 2100,A-
P4d26,Male,Jeffrey,,Williamson,Geoff,133-79-4835,Heterosexual,60,3,2039-05-04,09:28 PM,,Black,Wavy,Brown,67.3,185.7,OODD,Whispers into another's ear often,"Humble, Creative, Optimistic",Enigmatic,"Superficial, Secretive, Uncooperative",(433) 158-4993,Personal: jwilliamson@kmail.com,Passport: E53185491 - Exp: Aug 2106,Driver's License: J24IALV6 - Exp: Aug 2100,"Residence (val:3/size:4): 23 West Chestnut Street - Apartment 501, Baxter Center, Dumphrey - 00000","Blue 2004 Chrysler Sebring - Coupe, Convertible, Sedan - 2QX 225","Bank Account (389992734): $254,447.74",,Married,Kayla Arnold (2023 - 2095),,"[P153e, P8a0d, P37b0]",[],,,AffordableHub (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pcd21, P153e, P8a0d, P37b0]",True,,True,True,True,Senior,Jeffrey Williamson,Geoff Williamson,Mr.,M,Female,28.8,186 lbs,"5' 7""",2039 -  ,O+
P8d12,Male,Arthur,Darrell,Bush,Art,623-72-7576,Heterosexual,73,3,2026-05-05,02:55 AM,2099-05-18,Black,Touseled,Green,69.1,195.7,AAdd,Raises eyebrow often while others are talking,"Contemplative, Well-rounded, Cooperative",Progressive,"Sordid, Nihilistic, Petty",(532) 960-8724,Personal: arthurbush26@kmail.com,Passport: O30796630 - Exp: Jun 2108,Driver's License: M52JUPO2 - Exp: Aug 2105,"Residence (val:3/size:2): 3A East Larch Street - Apartment B9, Baxter Center, Dumphrey - 00000",Gray 1997 Chevrolet S10 Extended Cab - Pickup - VU 35680,"Bank Account (324394613): $22,111.83","Animal(name='Biscuit', animal_type='Fish', breed='Zebrafish (Zebra Danio)', age=7, gender='Female')",Married,Christine Nicole Cordova (2038 - 2099),,[Pbe3a],[],,,Healthn (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P950e, Pbe3a]",False,,True,True,True,Senior (Deceased),Arthur Darrell Bush,Art Bush,Mr.,M,Female,28.8,196 lbs,"5' 9""",2026 - 2099,A-
Pe347,Female,Patricia,Ashley,Wilkerson,,836-12-8861,Heterosexual,71,3,2028-11-17,12:52 PM,,Black,Wavy,Brown,68.4,150.2,OODd,Picks at nails,"Well-rounded, Curious, Honorable",Enigmatic,"Timid, Odd, Erratic",(866) 413-6406,Personal: pwilkerson195@kmail.com,Passport: U17347695 - Exp: Oct 2109,Driver's License: B42HRZA7 - Exp: Dec 2101,"Residence (val:2/size:4): 45 Greenaway Road - Apartment 1207, Baxter Center, Dumphrey - 00000",,"Bank Account (718607767): $107,203.90","Animal(name='Felix', animal_type='Cat', breed='Oregon Rex', age=9, gender='Female')",Single,,,[],[],,,AffordableHub (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,Patricia Ashley Wilkerson,Patricia Wilkerson,Ms.,F,Male,22.6,150 lbs,"5' 8""",2028 -  ,O+
P6e6a,Male,Scott,Derek,Nunez,Derrek,336-74-2116,Heterosexual,65,3,2034-03-06,11:42 AM,,Blonde,Touseled,Brown,73.0,140.1,ABdd,Offers unnecessary details,"Pruposeful, Reflective, Masculine  (Manly)",Unceremonious,"Crafty, Opportunistic, Profligate",(191) 113-1480,Personal: snunez36@yakoo.com,Passport: V20419170 - Exp: Jul 2106,Driver's License: A73JLKZ0 - Exp: Sep 2105,"Residence (val:5/size:8): 211 North Route 66 - Apt. 11, Baxter Center, Dumphrey - 00000","Silver 2009 Ford Focus - Coupe, Sedan - 39Y U42","Bank Account (822501386): $70,896.84",,Married,Beth Nunez (2027 -  ),,[P9c18],[],,,youGrocery (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pce46, P9c18]",True,,True,True,True,Senior,Scott Derek Nunez,Derrek Nunez,Mr.,M,Female,18.5,140 lbs,"6' 1""",2034 -  ,AB-
P824e,Male,Anthony,,Gomez,,505-56-3459,Heterosexual,78,3,2021-10-30,08:15 AM,2100-01-01,Black,Straight,Brown,66.9,157.7,AODD,Never dresses to fit the occasion,"Balanced, Humorous, Freethinking",Uninhibited,"Cold, Asocial, Cantakerous",(648) 550-9998,Personal: agomez278@yakoo.com,Passport: Q98403649 - Exp: Aug 2102,Driver's License: N30EAJF6 - Exp: Dec 2103,"Residence (val:2/size:4): 60 Denville Road - Apartment 104, Baxter Center, Dumphrey - 00000",Gray 2015 Scion iQ - Hatchback - 616 OSH,"Bank Account (758374035): $29,274.71",,Single,,,[],[],,,AffordableHub (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Anthony Gomez,Anthony Gomez,Mr.,M,Female,24.8,158 lbs,"5' 7""",2021 - 2100,A+
Pf945,Nonbinary,Jennifer,,Patton,,854-49-1765,Heterosexual,70,3,2029-09-29,10:00 PM,2100-01-01,Blonde,Flowing,Brown,68.8,145.4,AODD,Wears hats consistently,"Elegant, Intelligent, Objective",Quiet,"Disrespectful, Lazy, Fraudulent",(955) 928-1217,Personal: jpatton929@kmail.com,Passport: C55292702 - Exp: Apr 2104,Driver's License: W61BIEE8 - Exp: May 2106,"Residence (val:5/size:5): 24 East Birch Street, Baxter Center, Dumphrey - 00000",Black 2009 Mercedes-Benz S-Class - Sedan - 2D 9P7POG,"Bank Account (783501292): $11,631.66",,Single,,,[],[],,,AffordableHub (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Jennifer Patton,Jennifer Patton,Mx.,N,Nonbinary,21.6,145 lbs,"5' 9""",2029 - 2100,A+
Pdf03,Male,Albert,David,Gilbert,,088-57-3564,Heterosexual,74,3,2025-11-24,06:12 AM,,Black,Spiky,Green,74.3,170.2,ABdd,Only drinks gourmet tea for a caffeine fix,"Undogmatic, Felicific, Tidy",Religious,"Cold, Crude, Miserable",(606) 899-0087,Personal: agilbert1124@kmail.com,Passport: L51375315 - Exp: Aug 2104,Driver's License: M37RXUI5 - Exp: Aug 2100,"Residence (val:1/size:4): 46 Cantor Street - Apartment 602, Baxter Center, Dumphrey - 00000",Green 2002 MAZDA MX-5 Miata - Convertible - 36-EG15,"Bank Account (271486569): $157,615.60",,Single,,,[],[],,,AffordableHub (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,Albert David Gilbert,Albert Gilbert,Mr.,M,Female,21.7,170 lbs,"6' 2""",2025 -  ,AB-
Pfd63,Male,Johnny,Kenneth,Spencer,Kenny,748-20-1882,Heterosexual,74,3,2025-08-16,03:42 PM,,Blonde,Frizzy,Hazel,73.4,221.6,AAdd,Apologizes a lot,"Maticulous, Dutiful, Cultured",Glamorous,"Envious, Unreflective, Disloyal",(593) 495-5140,Personal: johnnyspencer@free.net,Passport: M43894747 - Exp: Mar 2104,Driver's License: U30PDTX2 - Exp: May 2105,"Residence (val:3/size:19): 15 East Maple Street - Apartment 508, Baxter Center, Dumphrey - 00000","White 2004 Audi A6 - Wagon, Sedan - HT 87543","Bank Account (394344914): $101,383.23","Animal(name='Abbey', animal_type='Dog', breed='Croatian Sheepdog', age=5, gender='Male')",Single,,,[],[],,,youGrocery (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,Johnny Kenneth Spencer,Kenny Spencer,Mr.,M,Female,28.9,222 lbs,"6' 1""",2025 -  ,A-
P86f0,Female,Kathryn,Lori,Brown,,790-62-7783,Heterosexual,78,3,2021-01-06,07:52 PM,2100-01-01,Blonde,Spiky,Brown,62.4,131.1,OOdd,Shows off expensive jewelry,"Directed, Dramatic, Kind",Confidential,"Malicious, Airy, Miserly",(531) 149-1223,Personal: kathrynberg16@hokmail.com,Passport: R64247952 - Exp: Oct 2101,Driver's License: Q94RPGB8 - Exp: Jan 2104,"Residence (val:4/size:4): 31 West Chestnut Street - Apartment B2, Baxter Center, Dumphrey - 00000",Silver 2006 Honda Odyssey - Van/Minivan - NPM 255,"Bank Account (390893397): $38,306.74",,Married,Jeffrey Brown (2028 - 2085),Berg,[P3ee5],[],,,Healthn (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pfb7e, P3ee5]",False,,True,True,True,Senior (Deceased),Kathryn Lori Brown,Kathryn Brown,Mrs.,F,Male,23.7,131 lbs,"5' 2""",2021 - 2100,O-
Pb1b7,Male,George,,Alexander,,599-73-7539,Homosexual,77,3,2022-07-02,07:29 AM,2100-01-01,Brown,Unkempt,Brown,75.4,188.2,BOdd,Stands with feet together,"Intelligent, Lyrical, Sentimental",Sarcastic,"Indulgent, Phlegmatic, Deceitful",(752) 959-4216,Personal: galexander72@yakoo.com,Passport: Y28950371 - Exp: Jan 2103,Driver's License: Q21ULHZ3 - Exp: Oct 2103,"Residence (val:1/size:4): 46 Cantor Street - Apartment 1007, Baxter Center, Dumphrey - 00000",Gold 1993 Ford Ranger Super Cab - Pickup - LHR-900,"Bank Account (146913584): $48,959.75",,Single,,,[],[],,,Healthn (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),George Alexander,George Alexander,Mr.,M,Male,23.3,188 lbs,"6' 3""",2022 - 2100,B-
P950e,Female,Christine,Nicole,Cordova,Nicky,882-92-9179,Heterosexual,60,3,2038-08-27,06:30 AM,2099-01-06,Brown,Flowing,Amber,67.9,127.1,AADD,Never dresses to fit the occasion,"Friendly, Seraphic, Innovative",Mystical,"Unreflective, Money-minded, Mannered",(157) 859-1232,Personal: ccordova38@kcloud.com,Passport: Z90926036 - Exp: Feb 2103,Driver's License: M98TNRS0 - Exp: Jun 2106,"Residence (val:3/size:2): 3A East Larch Street - Apartment B9, Baxter Center, Dumphrey - 00000","White 1998 Ford Taurus - Sedan, Wagon - 086F","Bank Account (907408131): $46,140.35",,Married,Arthur Darrell Bush (2026 - 2099),,[Pbe3a],[],,,,Unemployed,0,[],[],[],"[P8d12, Pbe3a]",False,,True,True,False,Senior (Deceased),Christine Nicole Cordova,Nicky Cordova,Mrs.,F,Male,19.4,127 lbs,"5' 8""",2038 - 2099,A+
Pade1,Male,Daniel,Kevin,Campbell,,167-81-7469,Heterosexual,68,3,2031-12-08,03:04 AM,2100-01-01,Red,Flowing,Blue,71.0,185.2,BBdd,Crosses arms while holding elbows,"Scholarly, Empathetic, Accessible",Physical,"Venal, Mannered, Possessive",(177) 579-5001,Personal: danielcampbell@outkook.com,Passport: K31071509 - Exp: Oct 2100,Driver's License: C69ISMQ5 - Exp: Aug 2104,"Residence (val:6/size:7): 200 North Route 66 - Unit 103, Baxter Center, Dumphrey - 00000",,"Bank Account (140340274): $34,990.27",,Single,,,[],[],,,,Unemployed,0,[],[],[],[],False,,True,True,False,Senior (Deceased),Daniel Kevin Campbell,Daniel Campbell,Mr.,M,Female,25.8,185 lbs,"5' 11""",2031 - 2100,B-
